#
#   Mass - radius relations for carbon core WDs with:
#   a helium envelope:    M_{He}/M_{*} = 10^{-2}
#   a hydrogen envelope:  M_{H}/M_{*} = 10^{-5}
#   in units of WD stellar mass.
#
#   T_{eff}:   effective temperature (in 10^3 K)
#   M/Mo:      stellar mass in units of solar masses
#   100 R/Ro:  100 x [stellar radius in units of solar radius]
#
# T_{eff}[10^3 K]   M/Mo     100 R/Ro
#
  25.0000000    0.7100000    1.1821653
  35.0000000    0.7100000    1.2241278
  45.0000000    0.7100000    1.2664905
   5.0000000    0.7200000    1.0903676
  15.0000000    0.7200000    1.1303839
  25.0000000    0.7200000    1.1678820
  35.0000000    0.7200000    1.2083039
  45.0000000    0.7200000    1.2486938
   5.0000000    0.7300000    1.0790507
  15.0000000    0.7300000    1.1177249
  25.0000000    0.7300000    1.1538038
  35.0000000    0.7300000    1.1927603
  45.0000000    0.7300000    1.2313578
   5.0000000    0.7400000    1.0676131
  15.0000000    0.7400000    1.1052020
  25.0000000    0.7400000    1.1399224
  35.0000000    0.7400000    1.1774971
  45.0000000    0.7400000    1.2144367
   5.0000000    0.7500000    1.0565032
  15.0000000    0.7500000    1.0928035
  25.0000000    0.7500000    1.1262273
  35.0000000    0.7500000    1.1624908
  45.0000000    0.7500000    1.1978760
   5.0000000    0.7600000    1.0454687
  15.0000000    0.7600000    1.0805137
  25.0000000    0.7600000    1.1127176
  35.0000000    0.7600000    1.1477173
  45.0000000    0.7600000    1.1816655
   5.0000000    0.7700000    1.0347235
  15.0000000    0.7700000    1.0683541
  25.0000000    0.7700000    1.0993494
  35.0000000    0.7700000    1.1331627
  45.0000000    0.7700000    1.1657637
   5.0000000    0.7800000    1.0238052
  15.0000000    0.7800000    1.0562811
  25.0000000    0.7800000    1.0861480
  35.0000000    0.7800000    1.1188051
  45.0000000    0.7800000    1.1501756
   5.0000000    0.7900000    1.0128353
  15.0000000    0.7900000    1.0443294
  25.0000000    0.7900000    1.0730950
  35.0000000    0.7900000    1.1046333
  45.0000000    0.7900000    1.1348403
   5.0000000    0.8000000    1.0019120
  15.0000000    0.8000000    1.0324479
  25.0000000    0.8000000    1.0601727
  35.0000000    0.8000000    1.0906356
  45.0000000    0.8000000    1.1197772
   5.0000000    0.8100000    0.9911439
  15.0000000    0.8100000    1.0206678
  25.0000000    0.8100000    1.0473800
  35.0000000    0.8100000    1.0767993
  45.0000000    0.8100000    1.1049273
   5.0000000    0.8200000    0.9805932
  15.0000000    0.8200000    1.0089685
  25.0000000    0.8200000    1.0347129
  35.0000000    0.8200000    1.0631265
  45.0000000    0.8200000    1.0903088
   5.0000000    0.8300000    0.9699662
  15.0000000    0.8300000    0.9973479
  25.0000000    0.8300000    1.0221494
  35.0000000    0.8300000    1.0495965
  45.0000000    0.8300000    1.0758920
   5.0000000    0.8400000    0.9590152
  15.0000000    0.8400000    0.9857831
  25.0000000    0.8400000    1.0096988
  35.0000000    0.8400000    1.0361981
  45.0000000    0.8400000    1.0616619
   5.0000000    0.8500000    0.9485359
  15.0000000    0.8500000    0.9742953
  25.0000000    0.8500000    0.9973384
  35.0000000    0.8500000    1.0229086
  45.0000000    0.8500000    1.0476131
   5.0000000    0.8600000    0.9378145
  15.0000000    0.8600000    0.9628737
  25.0000000    0.8600000    0.9850712
  35.0000000    0.8600000    1.0097490
  45.0000000    0.8600000    1.0337246
   5.0000000    0.8700000    0.9275087
  15.0000000    0.8700000    0.9514893
  25.0000000    0.8700000    0.9728872
  35.0000000    0.8700000    0.9966990
  45.0000000    0.8700000    1.0199798
   5.0000000    0.8800000    0.9167900
  15.0000000    0.8800000    0.9401683
  25.0000000    0.8800000    0.9607804
  35.0000000    0.8800000    0.9837433
  45.0000000    0.8800000    1.0063783
   5.0000000    0.8900000    0.9062572
  15.0000000    0.8900000    0.9288851
  25.0000000    0.8900000    0.9487410
  35.0000000    0.8900000    0.9708880
  45.0000000    0.8900000    0.9929121
   5.0000000    0.9000000    0.8959252
  15.0000000    0.9000000    0.9176317
  25.0000000    0.9000000    0.9367655
  35.0000000    0.9000000    0.9581170
  45.0000000    0.9000000    0.9795607
   5.0000000    0.9100000    0.8853343
  15.0000000    0.9100000    0.9064205
  25.0000000    0.9100000    0.9248539
  35.0000000    0.9100000    0.9454320
  45.0000000    0.9100000    0.9663027
   5.0000000    0.9200000    0.8747928
  15.0000000    0.9200000    0.8952428
  25.0000000    0.9200000    0.9129881
  35.0000000    0.9200000    0.9328213
  45.0000000    0.9200000    0.9531552
   5.0000000    0.9300000    0.8642550
  15.0000000    0.9300000    0.8840778
  25.0000000    0.9300000    0.9011777
  35.0000000    0.9300000    0.9202879
  45.0000000    0.9300000    0.9400945
   5.0000000    0.9400000    0.8537622
  15.0000000    0.9400000    0.8729351
  25.0000000    0.9400000    0.8894044
  35.0000000    0.9400000    0.9078176
  45.0000000    0.9400000    0.9271102
   5.0000000    0.9500000    0.8432678
  15.0000000    0.9500000    0.8618079
  25.0000000    0.9500000    0.8776693
  35.0000000    0.9500000    0.8954080
  45.0000000    0.9500000    0.9141921
   5.0000000    0.9600000    0.8330165
  15.0000000    0.9600000    0.8506884
  25.0000000    0.9600000    0.8659570
  35.0000000    0.9600000    0.8830450
  45.0000000    0.9600000    0.9013322
   5.0000000    0.9700000    0.8222977
  15.0000000    0.9700000    0.8395621
  25.0000000    0.9700000    0.8542760
  35.0000000    0.9700000    0.8707387
  45.0000000    0.9700000    0.8885212
   5.0000000    0.9800000    0.8118991
  15.0000000    0.9800000    0.8284464
  25.0000000    0.9800000    0.8426086
  35.0000000    0.9800000    0.8584683
  45.0000000    0.9800000    0.8757478
   5.0000000    0.9900000    0.8012340
  15.0000000    0.9900000    0.8173155
  25.0000000    0.9900000    0.8309574
  35.0000000    0.9900000    0.8462275
  45.0000000    0.9900000    0.8630065
   5.0000000    1.0000001    0.7904885
  15.0000000    1.0000001    0.8057158
  25.0000000    1.0000001    0.8188338
  35.0000000    1.0000001    0.8335164
  45.0000000    1.0000001    0.8497765
   5.0000000    1.0100001    0.7798709
  15.0000000    1.0100001    0.7945557
  25.0000000    1.0100001    0.8071843
  35.0000000    1.0100001    0.8213260
  45.0000000    1.0100001    0.8370687
   5.0000000    1.0200001    0.7694670
  15.0000000    1.0200001    0.7833744
  25.0000000    1.0200001    0.7955338
  35.0000000    1.0200001    0.8091412
  45.0000000    1.0200001    0.8243624
   5.0000000    1.0300001    0.7586295
  15.0000000    1.0300001    0.7721636
  25.0000000    1.0300001    0.7838797
  35.0000000    1.0300001    0.7969648
  45.0000000    1.0300001    0.8116504
   5.0000000    1.0400001    0.7477586
  15.0000000    1.0400001    0.7609187
  25.0000000    1.0400001    0.7722022
  35.0000000    1.0400001    0.7847879
  45.0000000    1.0400001    0.7989325
   5.0000000    1.0500001    0.7371048
  15.0000000    1.0500001    0.7496164
  25.0000000    1.0500001    0.7605059
  35.0000000    1.0500001    0.7725966
  45.0000000    1.0500001    0.7862086
   5.0000000    1.0600001    0.7262626
  15.0000000    1.0600001    0.7378394
  25.0000000    1.0600001    0.7487806
  35.0000000    1.0600001    0.7603957
  45.0000000    1.0600001    0.7734692
   5.0000000    1.0700001    0.7153648
  15.0000000    1.0700001    0.7263607
  25.0000000    1.0700001    0.7370164
  35.0000000    1.0700001    0.7481703
  45.0000000    1.0700001    0.7607180
   5.0000000    1.0800001    0.7044476
  15.0000000    1.0800001    0.7148984
  25.0000000    1.0800001    0.7252054
  35.0000000    1.0800001    0.7359086
  45.0000000    1.0800001    0.7479405
   5.0000000    1.0900001    0.6932086
  15.0000000    1.0900001    0.7033952
  25.0000000    1.0900001    0.7133455
  35.0000000    1.0900001    0.7236051
  45.0000000    1.0900001    0.7351456
   5.0000000    1.1000000    0.6822694
  15.0000000    1.1000000    0.6918640
  25.0000000    1.1000000    0.7019942
  35.0000000    1.1000000    0.7118346
  45.0000000    1.1000000    0.7228863
   5.0000000    1.1250000    0.6544888
  15.0000000    1.1250000    0.6633858
  25.0000000    1.1250000    0.6719008
  35.0000000    1.1250000    0.6807258
