#
#   Mass - radius relations for iron core WDs with:
#   a helium envelope:    M_{He}/M_{*} = 10^{-2}
#   a hydrogen envelope:  M_{H}/M_{*} = 10^{-5}
#   in units of WD stellar mass.
#
#   T_{eff}:   effective temperature (in 10^3 K)
#   M/Mo:      stellar mass in units of solar masses
#   100 R/Ro:  100 x [stellar radius in units of solar radius]
#
# T_{eff}[10^3 K]   M/Mo     100 R/Ro
#
  35.0000000    0.6200000    1.0402664
  45.0000000    0.6200000    1.0690390
  55.0000000    0.6200000    1.0992246
  70.0000000    0.6200000    1.1491729
   5.0000000    0.6300000    0.9416894
  15.0000000    0.6300000    0.9712129
  25.0000000    0.6300000    0.9988260
  35.0000000    0.6300000    1.0249938
  45.0000000    0.6300000    1.0523947
  55.0000000    0.6300000    1.0810850
  70.0000000    0.6300000    1.1283114
   5.0000000    0.6400000    0.9301882
  15.0000000    0.6400000    0.9585573
  25.0000000    0.6400000    0.9849982
  35.0000000    0.6400000    1.0099551
  45.0000000    0.6400000    1.0358723
  55.0000000    0.6400000    1.0633635
  70.0000000    0.6400000    1.1080493
   5.0000000    0.6500000    0.9186480
  15.0000000    0.6500000    0.9459317
  25.0000000    0.6500000    0.9712423
  35.0000000    0.6500000    0.9951516
  45.0000000    0.6500000    1.0197676
  55.0000000    0.6500000    1.0460375
  70.0000000    0.6500000    1.0883602
   5.0000000    0.6600000    0.9072140
  15.0000000    0.6600000    0.9334850
  25.0000000    0.6600000    0.9576996
  35.0000000    0.6600000    0.9805766
  45.0000000    0.6600000    1.0040142
  55.0000000    0.6600000    1.0290350
  70.0000000    0.6600000    1.0691742
   5.0000000    0.6700000    0.8957961
  15.0000000    0.6700000    0.9210018
  25.0000000    0.6700000    0.9441678
  35.0000000    0.6700000    0.9661918
  45.0000000    0.6700000    0.9885511
  55.0000000    0.6700000    1.0123533
  70.0000000    0.6700000    1.0504684
   5.0000000    0.6800000    0.8846473
  15.0000000    0.6800000    0.9088860
  25.0000000    0.6800000    0.9310389
  35.0000000    0.6800000    0.9519824
  45.0000000    0.6800000    0.9733220
  55.0000000    0.6800000    0.9960197
  70.0000000    0.6800000    1.0321963
   5.0000000    0.6900000    0.8733745
  15.0000000    0.6900000    0.8966063
  25.0000000    0.6900000    0.9177652
  35.0000000    0.6900000    0.9379522
  45.0000000    0.6900000    0.9583250
  55.0000000    0.6900000    0.9797000
  70.0000000    0.6900000    1.0143138
   5.0000000    0.7000000    0.8620156
  15.0000000    0.7000000    0.8843023
  25.0000000    0.7000000    0.9044766
  35.0000000    0.7000000    0.9240696
  45.0000000    0.7000000    0.9435265
  55.0000000    0.7000000    0.9637976
  70.0000000    0.7000000    0.9967946
   5.0000000    0.7100000    0.8509754
  15.0000000    0.7100000    0.8723747
  25.0000000    0.7100000    0.8916177
  35.0000000    0.7100000    0.9104122
  45.0000000    0.7100000    0.9289130
  55.0000000    0.7100000    0.9482319
  70.0000000    0.7100000    0.9796207
   5.0000000    0.7200000    0.8398444
  15.0000000    0.7200000    0.8604202
  25.0000000    0.7200000    0.8787677
  35.0000000    0.7200000    0.8971088
  45.0000000    0.7200000    0.9144791
  55.0000000    0.7200000    0.9328906
  70.0000000    0.7200000    0.9627531
   5.0000000    0.7300000    0.8284161
  15.0000000    0.7300000    0.8482292
  25.0000000    0.7300000    0.8656898
  35.0000000    0.7300000    0.8834097
  45.0000000    0.7300000    0.9002070
  55.0000000    0.7300000    0.9177530
  70.0000000    0.7300000    0.9461739
   5.0000000    0.7400000    0.8174403
  15.0000000    0.7400000    0.8365275
  25.0000000    0.7400000    0.8531672
  35.0000000    0.7400000    0.8702839
